CompoundGroup,ParentCompound_name,CHEBI_key,INCHI_key,CAS_numer,Biomarker_name,Biomarker_abbreviation,Biomarker_varname,BWB = Blood-whole blood (µg/L),BP = Blood-plasma (µg/L),BS = Blood-serum (µg/L),RBC = Red blood cells (µg/L),VAMS = Volumetric absorptive microsample (µg/L),CBWB = Cord blood-whole blood (µg/L),CBP = Cord blood-plasma (µg/L),CBS = Cord blood-serum (µg/L),AF = Amniotic Fluid (µg/L),PLT = Placenta tissue (ng/g),US = Urine- random spot (µg/L),UD = Urine-24h (µg/L),UM = Urine-first morning urine (µg/L),STL = Stool (ng/g),BM = Breast milk (µg/L),SEM = Semen (µg/L),SA = Saliva (µg/L),SPT = Sputum (µg/L),H = Hair (ng/g),TN = Toe nail (ng/g),FN = Finger nail (ng/g),ADI = Adipose Tissue/Fat (µg/L),EBC = Exhaled breath condensate (µg/L),DW = Dermal wipes (µg/cm2),SW = Surface wipe (µg/cm2)
Pesticides,Diuron,CHEBI:83464,,2327-02-8,"(3,4-dichlorophenyl)urea",,dcpu,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"(NE)-N-[3-[(2-chloro-1,3-thiazol-5-yl)methyl]-5-methyl-1,3,5-oxadiazinan-4-ylidene]nitramide",,NWWZPOKUUAIXIW-DHZHZOJOSA-N,,"(NE)-N-[3-[(2-chloro-1,3-thiazol-5-yl)methyl]-5-methyl-1,3,5-oxadiazinan-4-ylidene]nitramide",Thiamethoxam,thiamethoxam,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,(RS)-2-Chloro-N-(2-ethyl-6-methyl-phenyl)-N-(1-methoxypropan-2-yl)acetamide,,,,(RS)-2-Chloro-N-(2-ethyl-6-methyl-phenyl)-N-(1-methoxypropan-2-yl)acetamide,Dimetachlor,dimetachlor,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Diuron,CHEBI:83466,,3567-62-2,"1-(3,4-dichlorophenyl)-3-methylurea",,dcpmu,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,,CHEBI:83468,,34123-57-4,1-(4-Isopropylphenyl)-3-methylurea,IPPMU,ippmu,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Naphthalene,,NXPPAOGUKPJVDI-UHFFFAOYSA-N,,"1-,2-dihydroxynaphthalene","1,2-NAPH",diohnap,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"1-[(2-chloro-1,3-thiazol-5-yl)methyl]-3-methyl-2-nitroguanidine",,PGOOBECODWQEAB-UHFFFAOYSA-N,,"1-[(2-chloro-1,3-thiazol-5-yl)methyl]-3-methyl-2-nitroguanidine",Clothianidin,clothianidin,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"1-[2-(2,4-dichlorophenyl)-2-prop-2-enoxyethyl]imidazole",,PZBPKYOVPCNPJY-UHFFFAOYSA-N,,"1-[2-(2,4-dichlorophenyl)-2-prop-2-enoxyethyl]imidazole",Imazalil,enilconazole,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Tris(2chloroisopropyl)phosphate,,AUUWEOBTRZWTTC-UHFFFAOYSA-N  ,,1-hydroxy-2propyl bis (1-chloro-2-propyl) phosphate,BCIPHIPP,bciphipp,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Benz[a]anthracene,CHEBI:132369,,69847-26-3,1-hydroxybenz[a]anthracene,1-BaA,hbaa,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Chrysene,CHEBI:132391,,63019-38-5,1-hydroxychrysene,1-CRY,onehcry,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Naphthalene,CHEBI:10319,,90-15-3,1-hydroxynaphthalene,1-NAPH,oneohnap,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Phenanthrene,CHEBI:27528,,2433-56-9,1-hydroxyphenanthrene,1-PHEN,onehphe,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Pyrene,CHEBI:34093,,5315-79-7,1-hydroxypyrene,1-PYR,ohpyr,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Naphthalene,CHEBI:50717,,90-12-0,1-methylnaphthalene,1-MN,mnap,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Phenanthrene,CHEBI:35860,,832-69-9,1-methylphenanthrene,1-MP,mphe,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-2-ethylhexyl terephthalate,,QNPZVWKVIWGWLK-UHFFFAOYSA-N,,"1-mono-(2-carboxyl-methyl-hexyl) benzene-1,4-dicarboxylate",2cx-MMHTP,cxmmhtp,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-2-ethylhexyl terephthalate,,,,"1-mono-(2-ethyl-5-carboxyl-pentyl) benzene-1,4-dicarboxylate",5cx-MEPTP,cxmeptp,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-2-ethylhexyl terephthalate,,ODRKAFOVPBFSIN-UHFFFAOYSA-N,,"1-mono-(2-ethyl-5-hydroxy-hexyl) benzene-1,4-dicarboxylate",5OH-MEHTP,ohmehtp,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Di-2-ethylhexyl terephthalate,,,,"1-mono-(2-ethyl-5-oxo-hexyl) benzene-1,4-dicarboxylate",5oxo-MEHTP,oxomehtp,,,,,,,,,,,,,,,,,,,,,,,,,
